time,PalmTurnRight,PalmTurnLeft,PalmUp,PalmDown,PalmTiltLeft,PalmTiltRight,Thumb_Curl,Thumb_Flexion,Thumb_Abduction,Thumb_Opposition,Index_Curl,Index_Flexion,Index_Abduction,Index_Opposition,Middle_Curl,Middle_Flexion,Middle_Abduction,Middle_Opposition,Ring_Curl,Ring_Flexion,Ring_Abduction,Ring_Opposition,Pinky_Curl,Pinky_Flexion,Pinky_Abduction,Pinky_Opposition
5.689872,0.06531184,,0.1131822,,,0.5937045,185.7775,171.3665,21.42156,0,193.8515,201.241,16.68532,0.06509257,193.0828,205.785,12.9909,0.08616475,200.2014,195.5638,22.26063,0.09628659,185.7775,182.2166,0,0.1128211
5.952173,0.06328679,,0.2362449,,,0.5491851,185.0976,166.1677,26.37978,0,194.4415,201.1655,18.63384,0.06943314,196.1963,210.1364,12.62729,0.08924447,203.7484,200.6214,22.10471,0.09918562,185.0976,185.7578,0,0.1177643
6.205051,,0.01953365,0.1443489,,,0.6081269,184.9514,166.2224,25.28803,0,192.9884,199.3151,19.02365,0.07015761,195.2888,207.3041,13.052,0.09055351,206.6951,198.3542,20.56778,0.09715191,184.9514,182.5643,0,0.1131351
6.467382,,0.1209196,,0.2494974,,0.7406884,181.8584,150.9879,40.62256,0,183.4066,185.7938,108.6726,0.09255706,242.4228,245.6293,20.69169,0.07785555,245.3346,257.2696,13.82015,0.09314723,181.8584,260.7313,0,0.1040451
6.725123,,0.05850782,,0.138145,,0.8023623,178.1511,142.9952,48.18285,0,179.7985,192.8863,119.3432,0.1000631,251.3361,253.4841,19.23649,0.08041491,249.4392,263.045,18.12548,0.09652125,178.1511,267.9608,0,0.1103408
6.978529,0.003237916,,,0.277873,,0.774579,188.1427,310.7133,41.81874,0,224.0116,225.4017,51.14239,0.01830122,256.184,251.7201,19.7301,0.06286141,251.9789,260.6046,17.47564,0.07500054,188.1427,264.7844,0,0.08400983
7.232671,,0.1396957,,0.2443687,,0.6357403,175.4635,143.413,39.65994,0,199.0789,200.1923,17.90378,0.07423152,193.9251,202.7958,27.11631,0.1014705,210.3699,208.6101,19.85624,0.1005909,175.4635,214.2,0,0.1077439
7.485631,,0.1327419,,0.2155455,,0.571537,185.0118,159.4718,21.46732,0,203.5183,189.1807,22.35164,0.06217059,210.2563,203.1291,25.23383,0.06822222,226.4893,207.1753,13.83286,0.06710543,185.0118,201.8727,0,0.08020578
7.740719,,0.2444169,,0.1353821,,0.1789576,190.3452,180.5852,20.75526,0,203.5398,212.5404,25.16804,0.04198267,220.1148,222.4875,13.38244,0.05022584,225.9298,223.1491,11.23747,0.06055684,190.3452,221.4169,0,0.07157384
8.000246,,0.3545624,,0.006263469,0.4347441,,192.8834,149.2282,20.4757,0,200.0038,212.8382,20.18587,0.04715135,209.5349,221.7283,11.47585,0.05681439,212.2215,221.7069,11.08351,0.06652091,192.8834,214.6429,0,0.07789477
8.264617,,0.176263,0.1987163,,0.5886551,,186.0694,151.6568,24.28541,0,182.3288,196.5651,21.55215,0.0742554,181.2541,195.3215,16.92982,0.101903,187.7253,195.4066,23.31141,0.1051537,186.0694,193.5685,0,0.1127056
8.516337,0.03423499,,0.346714,,,0.1604687,190.4312,226.1552,19.12074,0,206.0037,210.3702,22.13493,0.03256092,206.3828,230.2402,12.86893,0.04712519,206.9997,237.0823,8.98555,0.05769988,190.4312,240.8969,0,0.06669935
8.778506,0.1721551,,0.5764438,,0.1105438,,,,,,,,,,,,,,,,,,,,,
9.035439,0.17967,,0.274002,,0.1662436,,,,,,,,,,,,,,,,,,,,,
9.293736,0.3102741,,,0.05485614,0.2242223,,,,,,,,,,,,,,,,,,,,,
9.556657
9.819263
10.0905
10.41864
10.73703
11.04433
11.35436
11.64388
11.89848
12.23181
